ERROR: logging before google.Init: I0909 20:21:01.328665       4 server.go:1524] Starting language server process with pid 1936
ERROR: logging before google.Init: I0909 20:21:01.342945       4 server.go:1577] Language server version: 1.1.26
ERROR: logging before google.Init: I0909 20:21:01.342945       4 server.go:586] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0909 20:21:01.364102       4 server.go:601] Language server listening on random port at 51452 for HTTPS (gRPC)
ERROR: logging before google.Init: I0909 20:21:01.364621       4 server.go:609] Language server listening on random port at 51453 for HTTP
ERROR: logging before google.Init: E0909 20:21:01.787981      57 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 20:21:01.790878      57 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0909 20:21:01.827943       4 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.827943       4 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 20:21:01.834945       4 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.834945       4 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 20:21:01.852943       4 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.852943       4 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 20:21:01.852943       4 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.852943       4 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 20:21:01.853947       4 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.853947       4 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 20:21:01.853947       4 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.853947       4 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 20:21:01.853947      40 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.854947      40 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 20:21:01.855946      40 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.855946      40 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 20:21:01.856946       4 server.go:1844] Generated and saved persistent installation UUID: 8ee65006-e91d-43ee-a749-823cbe6379e9
ERROR: logging before google.Init: W0909 20:21:01.871045       4 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0909 20:21:01.879487       4 defaults.go:774] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0909 20:21:01.880048       4 manager.go:108] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: W0909 20:21:01.881184       4 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.881184       4 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 20:21:01.881184       4 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.881184       4 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 20:21:01.926969      79 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0909 20:21:01.927474      79 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0909 20:21:01.927474      79 manager.go:105] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] starting
ERROR: logging before google.Init: I0909 20:21:01.929091      79 project_uris_migration.go:42] Starting ProjectUrisMigration
ERROR: logging before google.Init: I0909 20:21:01.929091      79 manager.go:125] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] completed successfully in 0s
ERROR: logging before google.Init: I0909 20:21:01.929598      79 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0909 20:21:01.929598      79 manager.go:105] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] starting
ERROR: logging before google.Init: I0909 20:21:01.966372       4 server.go:2924] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0909 20:21:01.966372       4 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 20:21:01.966372       4 server.go:2930] State refresh took 0ms
ERROR: logging before google.Init: I0909 20:21:01.966372       4 server.go:2944] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0909 20:21:01.966372       4 server.go:2946] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0909 20:21:01.966372       4 server.go:3438] [RemoteControl] CLI launched without --remote-control, staying disconnected
ERROR: logging before google.Init: I0909 20:21:01.966372       4 server.go:3256] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0909 20:21:01.967374       4 profiler.go:231] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0909 20:21:01.968373       4 server.go:2452] initialized server successfully in 637.0498ms
ERROR: logging before google.Init: W0909 20:21:01.969395     101 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.969395     101 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0909 20:21:01.969395     101 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0909 20:21:01.969395     101 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0909 20:21:01.979373       1 auto_updater.go:305] Spawned background update process with PID 4848
ERROR: logging before google.Init: I0909 20:21:01.980373       1 common.go:150] Launching CLI mode
ERROR: logging before google.Init: E0909 20:21:01.980373       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: I0909 20:21:01.980373       1 common.go:172] CLI app data directory: C:\Users\Usuario\.gemini\antigravity-cli
ERROR: logging before google.Init: I0909 20:21:01.980373       1 server.go:285] Creating CLI server backend: product=antigravity workspaceDirs=[C:\Users\Usuario] appDataDir=C:\Users\Usuario\.gemini\antigravity-cli cascadeManager=true codeAssist=true
ERROR: logging before google.Init: I0909 20:21:01.984372       1 auth_provider.go:763] [AuthProvider] SetEnableBusinessLogin called with enable: true
ERROR: logging before google.Init: I0909 20:21:01.991372      79 plugin_enablement_migration.go:64] Seeded plugin enablement for 6 plugin(s) into config.json
ERROR: logging before google.Init: I0909 20:21:01.991372      31 server.go:2944] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0909 20:21:01.991372      31 server.go:2946] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0909 20:21:01.991372      31 server.go:3438] [RemoteControl] CLI launched without --remote-control, staying disconnected
ERROR: logging before google.Init: I0909 20:21:01.991372      79 manager.go:125] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] completed successfully in 60.7634ms
ERROR: logging before google.Init: I0909 20:21:01.991372      31 server.go:3256] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0909 20:21:01.992372      79 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
ERROR: logging before google.Init: I0909 20:21:01.992372      79 manager.go:105] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] starting
ERROR: logging before google.Init: I0909 20:21:01.992372      32 server.go:2944] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0909 20:21:01.992372      32 server.go:2946] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0909 20:21:01.992372      32 server.go:3438] [RemoteControl] CLI launched without --remote-control, staying disconnected
ERROR: logging before google.Init: I0909 20:21:01.992372      32 server.go:3256] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0909 20:21:01.993372      79 manager.go:125] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] completed successfully in 0s
ERROR: logging before google.Init: I0909 20:21:01.994373      33 server.go:2944] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0909 20:21:01.994373      33 server.go:2946] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0909 20:21:01.994373      33 server.go:3438] [RemoteControl] CLI launched without --remote-control, staying disconnected
ERROR: logging before google.Init: I0909 20:21:01.994373      33 server.go:3256] [RemoteControl] Resolved proxyServerURL: ""
